id,text (russian),text (czech),text (polish),auto translate (russian),auto translate (czech),auto translate (polish),Final English Translation
STR_406_COMPLETE,,,,,,,COMPELTE:
STR_RESULT_UNLOCK,,,,,,,Unlocked
STR_RESULT_QUESTION,,,,,,,QUESTION
STR_RESULT_VALUE,,,,,,,Score
STR_RESULT_CONTINUE,,,,,,,Fix mistakes
STR_RESULT_REPLAY,,,,,,,TRY AGAIN
STR_RESULT_TITLE,,,,,,,RESULTS
STR_RESULT_SKIPPED,,,,,,,SKIPPED
STR_RESULT_CORR_TITLE,,,,,,,CORRECT ANSWERS
STR_RESULT_SKIPPED_TITLE,,,,,,,SKIPPED QUESTIONS
STR_RESULT_GOOD_1,,,,,,,Excellent!
STR_RESULT_GOOD_2,,,,,,,You did well!
STR_RESULT_WELL,,,,,,,Not bad.
STR_RESULT_TRY_AGAYN_1,,,,,,,Do you want to do it again?
STR_RESULT_TRY_AGAYN_2,,,,,,,Do you want to try again?
STR_FINDPART_FIND_1,,,,,,,Obtained new parts.
STR_FINDPART_FIND_2,,,,,,,Congratulations! You got a key part.
STR_FINDPART_TITLE,,,,,,,GOT NEW PARTS!
STR_PARTNAME_1_1,,,,,,,GPU
STR_PARTNAME_1_2,,,,,,,Cryogenics chamber
STR_PARTNAME_1_3,,,,,,,Mirror
STR_PARTNAME_1_4,,,,,,,Mirror
STR_PARTNAME_1_5,,,,,,,Fiber optic cable
STR_PARTNAME_1_6,,,,,,,Fiber optic cable
STR_PARTNAME_2_1,,,,,,,Miniature camera
STR_PARTNAME_2_2,,,,,,,Satellite dish
STR_PARTNAME_2_3,,,,,,,Air pollution sensor
STR_PARTNAME_2_4,,,,,,,Battery
STR_PARTNAME_2_5,,,,,,,Battery
STR_PARTNAME_2_6,,,,,,,Screen
STR_PARTNAME_3_1,,,,,,,Fuel tank
STR_PARTNAME_3_2,,,,,,,Fuel hose
STR_PARTNAME_3_3,,,,,,,Nozzle
STR_PARTNAME_3_4,,,,,,,Nozzle
STR_PARTNAME_3_5,,,,,,,Corset
STR_PARTNAME_3_6,,,,,,,Regulator
STR_PRC_COMPLETE,,,,,,,Done!
STR_PRC_TASK,,,,,,,question 
STR_PRC_1_LENGTH,,,,,,,length
STR_PRC_1_HEIGHT,,,,,,,height
STR_PRC_1_1_CM_3,,,,,,,1 cm3
STR_PRC_1_10_CM,,,,,,,10 cm
STR_PRC_1_1_L,,,,,,,1 liter
STR_PRC_1_6_CM,,,,,,,6 cm
STR_PRC_1_8_CM,,,,,,,8 cm
STR_PRC_1_9_CM,,,,,,,9 cm
STR_PRC_1_5_CM,,,,,,,5 cm
STR_PRC_1_7_CM,,,,,,,7 cm
STR_PRC_2_TAPE,,,,,,,tape measure
STR_PRC_2_GPS,,,,,,,GPS navigator
STR_PRC_2_CLOCK,,,,,,,clock
STR_PRC_2_SCALES,,,,,,,scales
STR_PRC_2_KG_MORE,,,,,,,More than 1 kg
STR_PRC_2_KG_EQUALL,,,,,,,1 kg
STR_PRC_2_KG_LESS,,,,,,,Less than 1 kg
STR_PRC_2_1_KG,,,,,,,1 kg
STR_PRC_2_2_KG,,,,,,,2 kg
STR_PRC_2_3_L,,,,,,,3 kg
STR_PRC_2_1_L,,,,,,,1 liter
STR_PRC_2_1_L_NONE,,,,,,,liter
STR_PRC_2_1_CM_3,,,,,,,cm3
STR_PRC_2_1_CM,,,,,,,cm
STR_PRC_2_DEGREE,,,,,,,degree
STR_PRC_2_SPEEDO,,,,,,,Speedometer
STR_PRC_2_THERMO,,,,,,,Thermometer
STR_PRC_2_CHRONO,,,,,,,Stopwatch
STR_PRC_2_COMPASS,,,,,,,Compass
STR_PRC_2_5_KG,,,,,,,5 kg
STR_PRC_2_8_KG,,,,,,,8 kg
STR_PRC_2_10_KG,,,,,,,10 kg
STR_PRC_2_20_DGR,,,,,,,20 C
STR_PRC_2_50_DGR,,,,,,,50 C
STR_PRC_2_100_DGR,,,,,,,100 C
STR_PRC_2_M5_DGR,,,,,,,-5 C
STR_PRC_2_M10_DGR,,,,,,,-10 C
STR_PRC_2_M20_DGR,,,,,,,-20 C
STR_PRC_3_INC,,,,,,,increases
STR_PRC_3_DEC,,,,,,,decreases
STR_PRC_3_TODIFF,,,,,,,becomes the difference
STR_PRC_3_DONTCHANGE,,,,,,,does not change
STR_PRC_3_DIFFERENCE,,,,,,,difference
STR_PRC_3_AMOUNT,,,,,,,sum
STR_PRC_3_SUMMAND,,,,,,,addend
STR_PRC_3_SUBTRAHEND,,,,,,,subtrahend
STR_PRC_3_MINUEND,,,,,,,minuend
STR_PRC_3_COMPONENTS,,,,,,,components
STR_PRC_3_TERMS,,,,,,,addends
STR_PRC_3_FOLDED,,,,,,,counted
STR_PRC_3_STORABLE,,,,,,,stored
STR_PRC_3_DEDUCT,,,,,,,minus
STR_PRC_3_REDUCED,,,,,,,reduced
STR_PRC_3_TAKEN,,,,,,,taken away
STR_PRC_3_2_KG,,,,,,,2 kg +
STR_PRC_3_2_KG_NONE,,,,,,,2 kg
STR_PRC_3_3_KG,,,,,,,3 kg
STR_PRC_3_1_KG,,,,,,,1 kg
STR_PRC_3_9_M,,,,,,,9 meters
STR_PRC_3_11_M,,,,,,,11 meters
STR_PRC_3_12_M,,,,,,,12 meters
STR_PRC_MOVING,,,,,,,Arrange objects in the right place
STR_PRC_CHECK,,,,,,,Checking...
STR_PRC_CONFIRM,,,,,,,Confirming...
STR_PRC_WEIGH,,,,,,,Weigh the object
STR_PRC_CHOOSE_CARD,,,,,,,Choose any card
STR_PRC_CHOOSE_CORRECT,,,,,,,Choose the correct option
STR_PRC_FIND_PAIR,,,,,,,Find a pair of matching objects
STR_PRC_FLY_LIVES,,,,,,,Lives:
STR_PRC_CHOOSE_HEAVY,,,,,,,Choose heavy objects
STR_PRC_CHOOSE_LIGHT,,,,,,,Chosoe light objects
STR_PRC_CHOOSE_COLD,,,,,,,Find cold objects!
STR_PRC_CHOOSE_NORMAL,,,,,,,Find objects of normal temperature!
STR_PRC_CHOOSE_HOT,,,,,,,Find hot objects!
STR_PRC_CAR,,,,,,,Choose your vehicle
STR_PRC_KIDS,,,,,,,Drag the correct number of children to the car.
STR_PRC_KIDS2,,,,,,,Add the correct number of children to the car.
STR_PRC_WEIGHTC1,,,,,,,Remove items from the scales
STR_PRC_WEIGHTC2,,,,,,,Balance the scales
STR_PRC_FINISH,,,,,,,Done
STR_PRC_1_QUESTION_01,,,,,,,Which of these boards is the longest?
STR_PRC_1_QUESTION_02,,,,,,,Which of these boards is the shortest?
STR_PRC_1_QUESTION_03,,,,,,,Find three boards of equal length.
STR_PRC_1_QUESTION_04,,,,,,,Which beam is the longest?
STR_PRC_1_QUESTION_05,,,,,,,Which beam is the shortest?
STR_PRC_1_QUESTION_06,,,,,,,Find three beams of equal length.
STR_PRC_1_QUESTION_07,,,,,,,Which car is the biggest?
STR_PRC_1_QUESTION_08,,,,,,,Which car is the smallest?
STR_PRC_1_QUESTION_09,,,,,,,Find three cars of the same size.
STR_PRC_1_QUESTION_10,,,,,,,Find the container with the largest volume.
STR_PRC_1_QUESTION_11,,,,,,,Find the container with the smallest volume.
STR_PRC_1_QUESTION_12,,,,,,,Find three containers with the same volume.
STR_PRC_1_QUESTION_13,,,,,,,What can you use to help you measure length?
STR_PRC_1_QUESTION_14,,,,,,,What can you use to help you measure the volume of a box?
STR_PRC_1_QUESTION_15,,,,,,,What can you use to help you measure the volume of a bottle?
STR_PRC_1_QUESTION_16,,,,,,,We need a ladder to build the tracks. Help us build it. Find boards with the same length as the first and last rung and use the mouse to drag them to the white templates.
STR_PRC_1_QUESTION_17,,,,,,,Help Phineas build supports for the track. Find beams with the same length as the white templates and drag them to the right place.
STR_PRC_1_QUESTION_18,,,,,,,Help Phineas hammer each nail. Click on a hammer and then a matching nail.
STR_PRC_1_QUESTION_19,,,,,,,"Help Phineas lay the bricks onto the trucks. First, click the bricks, then click a truck of the right size."
STR_PRC_1_QUESTION_20,,,,,,,Help Phineas pour the water into the containers. Click on a truck and then a tank with the right volume.
STR_PRC_1_QUESTION_21,,,,,,,Measure each item with an appropiate tool. First click on the tool and then a matching item.
STR_PRC_1_QUESTION_22,,,,,,,"Measure the length of the truck with a ruler. Drag the ruler to the truck, measure it, and then select the correct answer."
STR_PRC_1_QUESTION_23,,,,,,,"Measure the length of the truck with a ruler. Drag the ruler to the truck, measure it, and then select the correct answer."
STR_PRC_1_QUESTION_24,,,,,,,"Measure the length of the truck with a ruler. Drag the ruler to the truck, measure it, and then select the correct answer."
STR_PRC_1_QUESTION_25,,,,,,,"Measure the height of the crane with a ruler. Drag the ruler to the truck, measure it, and then select the correct answer."
STR_PRC_1_QUESTION_26,,,,,,,"Measure the height of the crane with a ruler. Drag the ruler to the truck, measure it, and then select the correct answer."
STR_PRC_1_QUESTION_27,,,,,,,"Measure the height of the crane with a ruler. Drag the ruler to the truck, measure it, and then select the correct answer."
STR_PRC_1_QUESTION_28,,,,,,,"Arrange items on the steps in ascending order, from smallest volume to largest."
STR_PRC_1_QUESTION_29,,,,,,,"Arrange items on the steps in descending order, from largest volume to smallest."
STR_PRC_2_QUESTION_01,,,,,,,Which of these items is the heavest?
STR_PRC_2_QUESTION_02,,,,,,,Which of these items is the lightest?
STR_PRC_2_QUESTION_03,,,,,,,What instrument is used to find weight?
STR_PRC_2_QUESTION_04,,,,,,,What is the weight of the object?
STR_PRC_2_QUESTION_05,,,,,,,What is the weight of the object?
STR_PRC_2_QUESTION_06,,,,,,,What is the weight of the object?
STR_PRC_2_QUESTION_07,,,,,,,Which of these objects is heavier?
STR_PRC_2_QUESTION_08,,,,,,,Which of these objects is lighter?
STR_PRC_2_QUESTION_09,,,,,,,Find three objects with the same weight.
STR_PRC_2_QUESTION_10,,,,,,,Find the hottest object.
STR_PRC_2_QUESTION_11,,,,,,,Find the coldest object.
STR_PRC_2_QUESTION_12,,,,,,,Find two items with the same temperature.
STR_PRC_2_QUESTION_13,,,,,,,In what units can we measure weight?
STR_PRC_2_QUESTION_14,,,,,,,In what units can we measure temperature?
STR_PRC_2_QUESTION_15,,,,,,,What object is used to find temperature?
STR_PRC_2_QUESTION_16,,,,,,,Find heavy objects and click on them with the left mosue button.
STR_PRC_2_QUESTION_17,,,,,,,Find light objects and click on them with the left mouse button
STR_PRC_2_QUESTION_18,,,,,,,Place the correct amount of weights on the empty end of the scales so that it balances. A sack of potatoes weighs 9 kg.
STR_PRC_2_QUESTION_19,,,,,,,Place the correct amount of weights on the empty end of the scales so that it balances. A water bottle weighs 5 kg.
STR_PRC_2_QUESTION_20,,,,,,,Place the correct amount of weights on the empty end of the scales so that it balances. A watermelon weighs 7 kg.
STR_PRC_2_QUESTION_21,,,,,,,Find the right weight for each object. Click the object and then the correct weight.
STR_PRC_2_QUESTION_22,,,,,,,Find the right thermometer for each object. Click on the object and then the correct thermometer.
STR_PRC_2_QUESTION_23,,,,,,,Find cold objects and click on them.
STR_PRC_2_QUESTION_24,,,,,,,Find objects at normal temperature and click on them.
STR_PRC_2_QUESTION_25,,,,,,,Some of these objects were just heated and are very hot. Click on them.
STR_PRC_2_QUESTION_26,,,,,,,Some of these objects were just removed from the freezer and are very cold. Click on them.
STR_PRC_2_QUESTION_27,,,,,,,Find the weight of the object with the scales. Put the item on the scale and remember the number as indicated by the arrow. Then select the correct answer.
STR_PRC_2_QUESTION_28,,,,,,,Measure the temperature of the liquid with a thermometer. Put the thermometer in the liquid and remember which number it stops on. Then select the correcty answer.
STR_PRC_2_QUESTION_29,,,,,,,Measure the temperature of the object with a thermometer. Touch the thermometer to the object and remember which number it stops on. Then choose the right answer.
STR_PRC_2_QUESTION_30,,,,,,,Arrange items on the steps in order from lightest to heaviest.
STR_PRC_2_QUESTION_31,,,,,,,Arrange items on the steps in order from heaviest to lightest.
STR_PRC_3_QUESTION_01,,,,,,,Which of these examples is right?
STR_PRC_3_QUESTION_02,,,,,,,Which of these examples is wrong?
STR_PRC_3_QUESTION_03,,,,,,,Find two examples where the solution is 4.
STR_PRC_3_QUESTION_04,,,,,,,"When we change the order of the added numbers, the sum..."
STR_PRC_3_QUESTION_05,,,,,,,The number you get from adding two numbers together is called...
STR_PRC_3_QUESTION_06,,,,,,,The number you get from subtracting two numbers is called...
STR_PRC_3_QUESTION_07,,,,,,,The numbers that are added are called...
STR_PRC_3_QUESTION_08,,,,,,,The number which is subtracted from is called...
STR_PRC_3_QUESTION_09,,,,,,,The number which is subtracted is called...
STR_PRC_3_QUESTION_10,,,,,,,There are 5 girls and 3 boys in the carriage. How many people should we add so that the total is 10?
STR_PRC_3_QUESTION_11,,,,,,,There are 5 girls and 6 boys in the carriage. How many people have to get out so that there are only 7 passengers?
STR_PRC_3_QUESTION_12,,,,,,,"The carriage can go if it has 8 passengers. It currently has 12. Count how many have to disembark, and drag the right amount back to the platform."
STR_PRC_3_QUESTION_13,,,,,,,"The carriage can go if it has 8 passengers. It currently has 3. Count how many have to get in,and drag the right amount back to the carriage."
STR_PRC_3_QUESTION_14,,,,,,,Count how many passengers can fit in each carriage and click on the correct number.
STR_PRC_3_QUESTION_15,,,,,,,Count how many passengers must be in each carriage for it to go and click on the correct number.
STR_PRC_3_QUESTION_16,,,,,,,"Find the example which results in the number below. When you find it, click on the right carriage."
STR_PRC_3_QUESTION_17,,,,,,,Add the weights of the items on the scale and select the correct number.
STR_PRC_3_QUESTION_18,,,,,,,Remove items from the scale so that the total weight is equal to the number shown by the arrow.
STR_PRC_3_QUESTION_19,,,,,,,"Help the children get into the carriage. Solve the problem, select the appropriate length of the ladder, and bring it to the carriage."
STR_SC311_PRT1_QUESTION_01,,,,,,,Which of these boards is the longest?
STR_SC311_PRT1_QUESTION_02,,,,,,,Which of these boards is the shortest?
STR_SC311_PRT1_QUESTION_03,,,,,,,Find three boards of equal length.
STR_SC311_PRT1_QUESTION_04,,,,,,,Which beam is the longest?
STR_SC311_PRT1_QUESTION_05,,,,,,,Which beam is the shortest?
STR_SC311_PRT1_QUESTION_06,,,,,,,Find three beams of equal length.
STR_SC311_PRT1_QUESTION_07,,,,,,,Which car is the biggest?
STR_SC311_PRT1_QUESTION_08,,,,,,,Which car is the smallest?
STR_SC311_PRT1_QUESTION_09,,,,,,,Find three cars of the same size.
STR_SC311_PRT1_QUESTION_10,,,,,,,Find the container with the largest volume.
STR_SC311_PRT1_QUESTION_11,,,,,,,Find the container with the smallest volume.
STR_SC311_PRT1_QUESTION_12,,,,,,,Find three containers with the same volume.
STR_SC311_PRT1_QUESTION_13,,,,,,,What can you use to help you measure length?
STR_SC311_PRT1_QUESTION_14,,,,,,,What can you use to help you measure the volume of a box?
STR_SC311_PRT1_QUESTION_15,,,,,,,What can you use to help you measure the volume of a bottle?
STR_SC311_PRT1_QUESTION_16,,,,,,,We need a ladder to build the tracks. Help us build it. Find boards with the same length as the first and last rung and use the mouse to drag them to the white templates.
STR_SC311_PRT1_QUESTION_16_CUT,,,,,,,Make a ladder with the correct length boards.
STR_SC311_PRT1_QUESTION_17,,,,,,,Help Phineas build supports for the track. Find beams with the same length as the white templates and drag them to the right place.
STR_SC311_PRT1_QUESTION_18,,,,,,,Help Phineas hammer each nail. Click on a hammer and then a matching nail.
STR_SC311_PRT1_QUESTION_19,,,,,,,"Help Phineas lay the bricks onto the trucks. First, click the bricks, then click a truck of the right size."
STR_SC311_PRT1_QUESTION_20,,,,,,,Help Phineas pour the water into the containers. Click on a truck and then a tank with the right volume.
STR_SC311_PRT1_QUESTION_21,,,,,,,Measure each item with an appropiate tool. First click on the tool and then a matching item.
STR_SC311_PRT1_QUESTION_21_CUT,,,,,,,Find the right tool to measure each object.
STR_SC311_PRT1_QUESTION_22_23_24,,,,,,,"Measure the length of the machine with a ruler. Drag the ruler to the machine, measure it, and then select the correct answer."
STR_SC311_PRT1_QUESTION_25_26_27,,,,,,,"Measure the height of the machine with a ruler. Drag the ruler to the machine, measure it, and then select the correct answer."
STR_SC311_PRT1_QUESTION_28,,,,,,,"Arrange items on the steps in ascending order, from smallest volume to largest."
STR_SC311_PRT1_QUESTION_29,,,,,,,"Arrange items on the steps in descending order, from largest volume to smallest."
STR_SC311_PRT2_QUESTION_01,,,,,,,Which of these objects is the heaviest?
STR_SC311_PRT2_QUESTION_02,,,,,,,Which of these objects is the lightest?
STR_SC311_PRT2_QUESTION_03,,,,,,,What instrument is used to find weight?
STR_SC311_PRT2_QUESTION_04_05_06,,,,,,,What is the weight of the object?
STR_SC311_PRT2_QUESTION_07,,,,,,,Which of these objects is heavier?
STR_SC311_PRT2_QUESTION_08,,,,,,,Which of these objects is lighter?
STR_SC311_PRT2_QUESTION_09,,,,,,,Find three objects with the same weight.
STR_SC311_PRT2_QUESTION_10,,,,,,,Find the hottest object.
STR_SC311_PRT2_QUESTION_11,,,,,,,Find the coldest object.
STR_SC311_PRT2_QUESTION_12,,,,,,,Find two items with the same temperature.
STR_SC311_PRT2_QUESTION_13,,,,,,,In what units can we measure weight?
STR_SC311_PRT2_QUESTION_14,,,,,,,In what units can we measure temperature?
STR_SC311_PRT2_QUESTION_15,,,,,,,What object is used to find temperature?
STR_SC311_PRT2_QUESTION_16,,,,,,,"Find heavy objects, then click the left mosue button."
STR_SC311_PRT2_QUESTION_17,,,,,,,"Find light objects, then click the left mouse button"
STR_SC311_PRT2_QUESTION_18,,,,,,,Place the correct amount of weights on the empty end of the scales so that it balances. A sack of potatoes weighs 9 kg.
STR_SC311_PRT2_QUESTION_19,,,,,,,Place the correct amount of weights on the empty end of the scales so that it balances. A water bottle weighs 5 kg.
STR_SC311_PRT2_QUESTION_20,,,,,,,Place the correct amount of weights on the empty end of the scales so that it balances. A watermelon weighs 7 kg.
STR_SC311_PRT2_QUESTION_21,,,,,,,Find the right weight for each object. Click the object and then the correct weight.
STR_SC311_PRT2_QUESTION_22,,,,,,,Find the right thermometer for each object. Click on the object and then the correct thermometer.
STR_SC311_PRT2_QUESTION_23,,,,,,,Find cold objects and click on them.
STR_SC311_PRT2_QUESTION_24,,,,,,,Find objects at normal temperature and click on them.
STR_SC311_PRT2_QUESTION_25,,,,,,,Some of these objects were just heated and are very hot. Click on them.
STR_SC311_PRT2_QUESTION_25_CUT,,,,,,,Find hot objects and click on them.
STR_SC311_PRT2_QUESTION_26,,,,,,,Some of these objects were just removed from the freezer and are very cold. Click on them.
STR_SC311_PRT2_QUESTION_26_CUT,,,,,,,Find cold objects and click on them.
STR_SC311_PRT2_QUESTION_27,,,,,,,Find the weight of the object with the scales. Put the item on the scale and remember the number as indicated by the arrow. Then select the correct answer.
STR_SC311_PRT2_QUESTION_28,,,,,,,Measure the temperature of the liquid with a thermometer. Put the thermometer in the liquid and remember which number it stops on. Then select the correcty answer.
STR_SC311_PRT2_QUESTION_29,,,,,,,Measure the temperature of the object with a thermometer. Touch the thermometer to the object and remember which number it stops on. Then choose the right answer.
STR_SC311_PRT2_QUESTION_30,,,,,,,Arrange items on the steps in order from lightest to heaviest.
STR_SC311_PRT2_QUESTION_31,,,,,,,Arrange items on the steps in order from heaviest to lightest.
STR_SC311_PRT3_QUESTION_01,,,,,,,Which of these examples is right?
STR_SC311_PRT3_QUESTION_02,,,,,,,Which of these examples is wrong?
STR_SC311_PRT3_QUESTION_03,,,,,,,Find two examples where the solution is 4.
STR_SC311_PRT3_QUESTION_04,,,,,,,When we change the order of the added numbers...
STR_SC311_PRT3_QUESTION_05,,,,,,,The number you get from adding two numbers together is called...
STR_SC311_PRT3_QUESTION_06,,,,,,,The number you get from subtracting two numbers is called...
STR_SC311_PRT3_QUESTION_07,,,,,,,The numbers that are added are called...
STR_SC311_PRT3_QUESTION_08,,,,,,,The number which is subtracted from is called...
STR_SC311_PRT3_QUESTION_09,,,,,,,The number which is subtracted is called...
STR_SC311_PRT3_QUESTION_10,,,,,,,There are 5 girls and 3 boys in the carriage. How many people should we add so that the total is 10?
STR_SC311_PRT3_QUESTION_11,,,,,,,There are 5 girls and 6 boys in the carriage. How many people have to get out so that there are only 7 passengers?
STR_SC311_PRT3_QUESTION_12,,,,,,,"The carriage can go if it has 8 passengers. It currently has 12. Count how many have to disembark, and drag the right amount back to the platform."
